"train/global_step","grpo_vastai_20260220_001219 - train/reward","grpo_vastai_20260220_001219 - train/reward__MIN","grpo_vastai_20260220_001219 - train/reward__MAX","grpo_vastai_20260220_001219 - _step","grpo_vastai_20260220_001219 - _step__MIN","grpo_vastai_20260220_001219 - _step__MAX"
"34","-0.3224715292453766","-0.3224715292453766","-0.3224715292453766","406","406","406"
"35","-0.18116231262683868","-0.18116231262683868","-0.18116231262683868","418","418","418"
"36","-0.3121279776096344","-0.3121279776096344","-0.3121279776096344","430","430","430"
"37","-0.34891700744628906","-0.34891700744628906","-0.34891700744628906","442","442","442"
"38","-0.3707217276096344","-0.3707217276096344","-0.3707217276096344","454","454","454"
"39","-0.0513392835855484","-0.0513392835855484","-0.0513392835855484","466","466","466"
"40","-0.09697418659925461","-0.09697418659925461","-0.09697418659925461","478","478","478"
"41","1.9360119104385376","1.9360119104385376","1.9360119104385376","490","490","490"
"42","-0.14445465803146362","-0.14445465803146362","-0.14445465803146362","502","502","502"
"43","-0.21615314483642578","-0.21615314483642578","-0.21615314483642578","514","514","514"
"44","1.9775545597076416","1.9775545597076416","1.9775545597076416","526","526","526"
"45","-0.28170037269592285","-0.28170037269592285","-0.28170037269592285","538","538","538"
"46","-0.10478034615516663","-0.10478034615516663","-0.10478034615516663","550","550","550"
"47","-0.4852585792541504","-0.4852585792541504","-0.4852585792541504","562","562","562"
"48","-0.3456101417541504","-0.3456101417541504","-0.3456101417541504","574","574","574"
"49","-0.3374255895614624","-0.3374255895614624","-0.3374255895614624","586","586","586"
"50","-0.14770981669425964","-0.14770981669425964","-0.14770981669425964","598","598","598"
"51","-0.4436383843421936","-0.4436383843421936","-0.4436383843421936","610","610","610"
"52","-0.1395089328289032","-0.1395089328289032","-0.1395089328289032","622","622","622"
"53","-0.17096540331840515","-0.17096540331840515","-0.17096540331840515","634","634","634"
"54","-0.3661954402923584","-0.3661954402923584","-0.3661954402923584","646","646","646"
"55","-0.35882478952407837","-0.35882478952407837","-0.35882478952407837","658","658","658"
"56","-0.6319798827171326","-0.6319798827171326","-0.6319798827171326","670","670","670"
"57","-0.5734127163887024","-0.5734127163887024","-0.5734127163887024","682","682","682"
"58","-0.2772253751754761","-0.2772253751754761","-0.2772253751754761","694","694","694"
"59","-0.3777695298194885","-0.3777695298194885","-0.3777695298194885","706","706","706"
"60","-0.351376473903656","-0.351376473903656","-0.351376473903656","718","718","718"
"61","2.0523314476013184","2.0523314476013184","2.0523314476013184","730","730","730"
"62","-0.02030249685049057","-0.02030249685049057","-0.02030249685049057","742","742","742"
"63","-0.5722571611404419","-0.5722571611404419","-0.5722571611404419","754","754","754"
"64","-0.4365197420120239","-0.4365197420120239","-0.4365197420120239","766","766","766"
