"train/global_step","grpo_vastai_20260220_001219 - train/step_time","grpo_vastai_20260220_001219 - train/step_time__MIN","grpo_vastai_20260220_001219 - train/step_time__MAX","grpo_vastai_20260220_001219 - _step","grpo_vastai_20260220_001219 - _step__MIN","grpo_vastai_20260220_001219 - _step__MAX"
"1","9.447961105965078","9.447961105965078","9.447961105965078","10","10","10"
"2","9.637887097429484","9.637887097429484","9.637887097429484","22","22","22"
"3","9.84629024239257","9.84629024239257","9.84629024239257","34","34","34"
"4","9.14179018791765","9.14179018791765","9.14179018791765","46","46","46"
"5","9.900272243190557","9.900272243190557","9.900272243190557","58","58","58"
"6","8.50299858301878","8.50299858301878","8.50299858301878","70","70","70"
"7","10.13102488219738","10.13102488219738","10.13102488219738","82","82","82"
"8","8.477320027537644","8.477320027537644","8.477320027537644","94","94","94"
"9","8.833567566238344","8.833567566238344","8.833567566238344","106","106","106"
"10","9.330395642202348","9.330395642202348","9.330395642202348","118","118","118"
"11","9.728886311873794","9.728886311873794","9.728886311873794","130","130","130"
"12","9.347669802606106","9.347669802606106","9.347669802606106","142","142","142"
"13","10.123560368549079","10.123560368549079","10.123560368549079","154","154","154"
"14","9.346474699676037","9.346474699676037","9.346474699676037","166","166","166"
"15","10.491035009268671","10.491035009268671","10.491035009268671","178","178","178"
"16","10.113236057572067","10.113236057572067","10.113236057572067","190","190","190"
"17","10.590486275963485","10.590486275963485","10.590486275963485","202","202","202"
"18","8.79324196698144","8.79324196698144","8.79324196698144","214","214","214"
"19","9.63165831565857","9.63165831565857","9.63165831565857","226","226","226"
"20","9.703079556114972","9.703079556114972","9.703079556114972","238","238","238"
"21","9.127081027254462","9.127081027254462","9.127081027254462","250","250","250"
"22","9.1894248300232","9.1894248300232","9.1894248300232","262","262","262"
"23","11.518741167150438","11.518741167150438","11.518741167150438","274","274","274"
"24","9.098083856981248","9.098083856981248","9.098083856981248","286","286","286"
"25","10.302955001592636","10.302955001592636","10.302955001592636","298","298","298"
"26","9.1773622748442","9.1773622748442","9.1773622748442","310","310","310"
"27","8.907537695020437","8.907537695020437","8.907537695020437","322","322","322"
"28","9.260981080122292","9.260981080122292","9.260981080122292","334","334","334"
"29","10.02585255401209","10.02585255401209","10.02585255401209","346","346","346"
"30","9.2018455080688","9.2018455080688","9.2018455080688","358","358","358"
"31","9.0857171760872","9.0857171760872","9.0857171760872","370","370","370"
"32","8.942256644368172","8.942256644368172","8.942256644368172","382","382","382"
"33","9.270218897145241","9.270218897145241","9.270218897145241","394","394","394"
"34","10.115435935556889","10.115435935556889","10.115435935556889","406","406","406"
"35","10.150300898589194","10.150300898589194","10.150300898589194","418","418","418"
"36","9.57314079767093","9.57314079767093","9.57314079767093","430","430","430"
"37","9.134064356796443","9.134064356796443","9.134064356796443","442","442","442"
"38","9.670922103337944","9.670922103337944","9.670922103337944","454","454","454"
"39","10.785248717758805","10.785248717758805","10.785248717758805","466","466","466"
"40","8.990246049594134","8.990246049594134","8.990246049594134","478","478","478"
"41","9.212278163060546","9.212278163060546","9.212278163060546","490","490","490"
"42","9.482340026181191","9.482340026181191","9.482340026181191","502","502","502"
"43","9.470149948261678","9.470149948261678","9.470149948261678","514","514","514"
"44","9.393833374604583","9.393833374604583","9.393833374604583","526","526","526"
"45","10.114039682783186","10.114039682783186","10.114039682783186","538","538","538"
"46","9.507598428986967","9.507598428986967","9.507598428986967","550","550","550"
"47","9.633444806560874","9.633444806560874","9.633444806560874","562","562","562"
"48","9.544950360897928","9.544950360897928","9.544950360897928","574","574","574"
"49","10.089026826899499","10.089026826899499","10.089026826899499","586","586","586"
"50","9.292306625284255","9.292306625284255","9.292306625284255","598","598","598"
"51","11.094294610898942","11.094294610898942","11.094294610898942","610","610","610"
"52","9.5017078993842","9.5017078993842","9.5017078993842","622","622","622"
"53","9.743665100540966","9.743665100540966","9.743665100540966","634","634","634"
"54","9.149584602098912","9.149584602098912","9.149584602098912","646","646","646"
"55","9.161704896017909","9.161704896017909","9.161704896017909","658","658","658"
"56","10.449453739449382","10.449453739449382","10.449453739449382","670","670","670"
"57","9.351296701934189","9.351296701934189","9.351296701934189","682","682","682"
"58","9.32747964374721","9.32747964374721","9.32747964374721","694","694","694"
"59","9.708231908734888","9.708231908734888","9.708231908734888","706","706","706"
"60","9.129430876579136","9.129430876579136","9.129430876579136","718","718","718"
"61","9.969712710473686","9.969712710473686","9.969712710473686","730","730","730"
"62","11.520086425822228","11.520086425822228","11.520086425822228","742","742","742"
"63","9.566622154787183","9.566622154787183","9.566622154787183","754","754","754"
"64","9.03672565985471","9.03672565985471","9.03672565985471","766","766","766"
"65","7.830725217238069","7.830725217238069","7.830725217238069","778","778","778"
"66","9.502241497393698","9.502241497393698","9.502241497393698","790","790","790"
"67","9.705911975819618","9.705911975819618","9.705911975819618","802","802","802"
"68","8.343697343952954","8.343697343952954","8.343697343952954","814","814","814"
"69","9.11869841068983","9.11869841068983","9.11869841068983","826","826","826"
"70","9.30794497905299","9.30794497905299","9.30794497905299","838","838","838"
"71","9.514799128752202","9.514799128752202","9.514799128752202","850","850","850"
"72","9.110430121887475","9.110430121887475","9.110430121887475","862","862","862"
"73","9.344188636168838","9.344188636168838","9.344188636168838","874","874","874"
"74","10.49742205766961","10.49742205766961","10.49742205766961","886","886","886"
"75","9.858932791277766","9.858932791277766","9.858932791277766","898","898","898"
"76","9.16315586073324","9.16315586073324","9.16315586073324","910","910","910"
"77","9.630508379079401","9.630508379079401","9.630508379079401","922","922","922"
"78","13.605716480873525","13.605716480873525","13.605716480873525","934","934","934"
