"train/global_step","grpo_vastai_20260220_001219 - train/rewards/reward_fn/std","grpo_vastai_20260220_001219 - train/rewards/reward_fn/std__MIN","grpo_vastai_20260220_001219 - train/rewards/reward_fn/std__MAX","grpo_vastai_20260220_001219 - _step","grpo_vastai_20260220_001219 - _step__MIN","grpo_vastai_20260220_001219 - _step__MAX"
"112","2.222687244415283","2.222687244415283","2.222687244415283","1342","1342","1342"
"113","0.508671224117279","0.508671224117279","0.508671224117279","1354","1354","1354"
"114","2.5337865352630615","2.5337865352630615","2.5337865352630615","1366","1366","1366"
"115","0.6297593712806702","0.6297593712806702","0.6297593712806702","1378","1378","1378"
"116","0.7465190887451172","0.7465190887451172","0.7465190887451172","1390","1390","1390"
"117","0.7024615406990051","0.7024615406990051","0.7024615406990051","1402","1402","1402"
"118","2.508314609527588","2.508314609527588","2.508314609527588","1414","1414","1414"
"119","2.4621596336364746","2.4621596336364746","2.4621596336364746","1426","1426","1426"
"120","0.5694869756698608","0.5694869756698608","0.5694869756698608","1438","1438","1438"
"121","0.6117345690727234","0.6117345690727234","0.6117345690727234","1450","1450","1450"
"122","2.4451849460601807","2.4451849460601807","2.4451849460601807","1462","1462","1462"
"123","0.6154140830039978","0.6154140830039978","0.6154140830039978","1474","1474","1474"
"124","0.5694693326950073","0.5694693326950073","0.5694693326950073","1486","1486","1486"
"125","0.6530997157096863","0.6530997157096863","0.6530997157096863","1498","1498","1498"
"126","0.6056941151618958","0.6056941151618958","0.6056941151618958","1510","1510","1510"
"127","0.6742933392524719","0.6742933392524719","0.6742933392524719","1522","1522","1522"
"128","0.6323040127754211","0.6323040127754211","0.6323040127754211","1534","1534","1534"
"129","0.5790802836418152","0.5790802836418152","0.5790802836418152","1546","1546","1546"
"130","0.6793912649154663","0.6793912649154663","0.6793912649154663","1558","1558","1558"
"131","0.48652029037475586","0.48652029037475586","0.48652029037475586","1570","1570","1570"
"132","0.5394433736801147","0.5394433736801147","0.5394433736801147","1582","1582","1582"
"133","0.7157238721847534","0.7157238721847534","0.7157238721847534","1594","1594","1594"
"134","2.385251045227051","2.385251045227051","2.385251045227051","1606","1606","1606"
"135","0.6195550560951233","0.6195550560951233","0.6195550560951233","1618","1618","1618"
"136","0.5715977549552917","0.5715977549552917","0.5715977549552917","1630","1630","1630"
"137","0.5681504011154175","0.5681504011154175","0.5681504011154175","1642","1642","1642"
"138","0.6418676972389221","0.6418676972389221","0.6418676972389221","1654","1654","1654"
"139","0.5359878540039062","0.5359878540039062","0.5359878540039062","1666","1666","1666"
"140","0.7573599815368652","0.7573599815368652","0.7573599815368652","1678","1678","1678"
"141","0.5131417512893677","0.5131417512893677","0.5131417512893677","1690","1690","1690"
"142","0.5742544531822205","0.5742544531822205","0.5742544531822205","1702","1702","1702"
"143","0.6335468292236328","0.6335468292236328","0.6335468292236328","1714","1714","1714"
"144","0.767173171043396","0.767173171043396","0.767173171043396","1726","1726","1726"
"145","0.5766757130622864","0.5766757130622864","0.5766757130622864","1738","1738","1738"
"146","0.6176224946975708","0.6176224946975708","0.6176224946975708","1750","1750","1750"
"147","0.7181798219680786","0.7181798219680786","0.7181798219680786","1762","1762","1762"
"148","2.5456581115722656","2.5456581115722656","2.5456581115722656","1774","1774","1774"
"149","0.5089998841285706","0.5089998841285706","0.5089998841285706","1786","1786","1786"
"150","0.5681836009025574","0.5681836009025574","0.5681836009025574","1798","1798","1798"
"151","0.7204015851020813","0.7204015851020813","0.7204015851020813","1810","1810","1810"
"152","0.7771109342575073","0.7771109342575073","0.7771109342575073","1822","1822","1822"
"153","0.6820490956306458","0.6820490956306458","0.6820490956306458","1834","1834","1834"
"154","2.4412081241607666","2.4412081241607666","2.4412081241607666","1846","1846","1846"
"155","0.5942267775535583","0.5942267775535583","0.5942267775535583","1858","1858","1858"
"156","0.48334142565727234","0.48334142565727234","0.48334142565727234","1870","1870","1870"
"157","0.6149893999099731","0.6149893999099731","0.6149893999099731","1882","1882","1882"
"158","0.45690804719924927","0.45690804719924927","0.45690804719924927","1894","1894","1894"
"159","0.5794528126716614","0.5794528126716614","0.5794528126716614","1906","1906","1906"
"160","0.6119868755340576","0.6119868755340576","0.6119868755340576","1918","1918","1918"
"161","0.5513242483139038","0.5513242483139038","0.5513242483139038","1930","1930","1930"
"162","0.7066380381584167","0.7066380381584167","0.7066380381584167","1942","1942","1942"
"163","0.6952395439147949","0.6952395439147949","0.6952395439147949","1954","1954","1954"
"164","0.6252250671386719","0.6252250671386719","0.6252250671386719","1966","1966","1966"
"165","0.6548031568527222","0.6548031568527222","0.6548031568527222","1978","1978","1978"
"166","0.6599695086479187","0.6599695086479187","0.6599695086479187","1990","1990","1990"
"167","0.5525317788124084","0.5525317788124084","0.5525317788124084","2002","2002","2002"
"168","0.48426729440689087","0.48426729440689087","0.48426729440689087","2014","2014","2014"
"169","0.6955291628837585","0.6955291628837585","0.6955291628837585","2026","2026","2026"
"170","0.8047136068344116","0.8047136068344116","0.8047136068344116","2038","2038","2038"
"171","0.5575862526893616","0.5575862526893616","0.5575862526893616","2050","2050","2050"
"172","0.6372418999671936","0.6372418999671936","0.6372418999671936","2062","2062","2062"
"173","2.2895379066467285","2.2895379066467285","2.2895379066467285","2074","2074","2074"
"174","0.6530330181121826","0.6530330181121826","0.6530330181121826","2086","2086","2086"
"175","0.7074848413467407","0.7074848413467407","0.7074848413467407","2098","2098","2098"
"176","0.6736317873001099","0.6736317873001099","0.6736317873001099","2110","2110","2110"
"177","0.7176560163497925","0.7176560163497925","0.7176560163497925","2122","2122","2122"
"178","0.6526812314987183","0.6526812314987183","0.6526812314987183","2134","2134","2134"
"179","0.5143609046936035","0.5143609046936035","0.5143609046936035","2146","2146","2146"
"180","0.8792900443077087","0.8792900443077087","0.8792900443077087","2158","2158","2158"
"181","0.6439096927642822","0.6439096927642822","0.6439096927642822","2170","2170","2170"
"182","2.542146682739258","2.542146682739258","2.542146682739258","2182","2182","2182"
"183","0.6154078841209412","0.6154078841209412","0.6154078841209412","2194","2194","2194"
"184","0.5403360724449158","0.5403360724449158","0.5403360724449158","2206","2206","2206"
"185","2.0996415615081787","2.0996415615081787","2.0996415615081787","2218","2218","2218"
"186","0.7645924687385559","0.7645924687385559","0.7645924687385559","2230","2230","2230"
"187","0.677736222743988","0.677736222743988","0.677736222743988","2242","2242","2242"
"188","0.7497014999389648","0.7497014999389648","0.7497014999389648","2254","2254","2254"
"189","0.7192596793174744","0.7192596793174744","0.7192596793174744","2266","2266","2266"
"190","0.7721036672592163","0.7721036672592163","0.7721036672592163","2278","2278","2278"
"191","0.5699739456176758","0.5699739456176758","0.5699739456176758","2290","2290","2290"
"192","0.6343793869018555","0.6343793869018555","0.6343793869018555","2302","2302","2302"
"193","0.6710231900215149","0.6710231900215149","0.6710231900215149","2314","2314","2314"
"194","0.6306231021881104","0.6306231021881104","0.6306231021881104","2326","2326","2326"
"195","0.4974111020565033","0.4974111020565033","0.4974111020565033","2338","2338","2338"
"196","2.7626688480377197","2.7626688480377197","2.7626688480377197","2350","2350","2350"
"197","0.6156420111656189","0.6156420111656189","0.6156420111656189","2362","2362","2362"
"198","0.7152206301689148","0.7152206301689148","0.7152206301689148","2374","2374","2374"
"199","0.6383416652679443","0.6383416652679443","0.6383416652679443","2386","2386","2386"
"200","2.3709466457366943","2.3709466457366943","2.3709466457366943","2398","2398","2398"
"201","0.6564180850982666","0.6564180850982666","0.6564180850982666","2410","2410","2410"
"202","2.2127020359039307","2.2127020359039307","2.2127020359039307","2422","2422","2422"
"203","0.49867379665374756","0.49867379665374756","0.49867379665374756","2434","2434","2434"
"204","0.5345227122306824","0.5345227122306824","0.5345227122306824","2446","2446","2446"
"205","2.4053609371185303","2.4053609371185303","2.4053609371185303","2458","2458","2458"
"206","0.619327187538147","0.619327187538147","0.619327187538147","2470","2470","2470"
"207","0.6950251460075378","0.6950251460075378","0.6950251460075378","2482","2482","2482"
"208","0.6416380405426025","0.6416380405426025","0.6416380405426025","2494","2494","2494"
"209","0.6674688458442688","0.6674688458442688","0.6674688458442688","2506","2506","2506"
"210","0.6876267790794373","0.6876267790794373","0.6876267790794373","2518","2518","2518"
"211","0.7177130579948425","0.7177130579948425","0.7177130579948425","2530","2530","2530"
"212","0.5984008312225342","0.5984008312225342","0.5984008312225342","2542","2542","2542"
"213","0.7321888208389282","0.7321888208389282","0.7321888208389282","2554","2554","2554"
"214","0.568199872970581","0.568199872970581","0.568199872970581","2566","2566","2566"
"215","0.5325706601142883","0.5325706601142883","0.5325706601142883","2578","2578","2578"
"216","0.5066176056861877","0.5066176056861877","0.5066176056861877","2590","2590","2590"
"217","0.6591569185256958","0.6591569185256958","0.6591569185256958","2602","2602","2602"
"218","0.6256834864616394","0.6256834864616394","0.6256834864616394","2614","2614","2614"
"219","0.6736636161804199","0.6736636161804199","0.6736636161804199","2626","2626","2626"
"220","0.6601149439811707","0.6601149439811707","0.6601149439811707","2638","2638","2638"
"221","0.7982818484306335","0.7982818484306335","0.7982818484306335","2650","2650","2650"
"222","0.6478065848350525","0.6478065848350525","0.6478065848350525","2662","2662","2662"
"223","0.6772710084915161","0.6772710084915161","0.6772710084915161","2674","2674","2674"
"224","2.4274535179138184","2.4274535179138184","2.4274535179138184","2686","2686","2686"
"225","2.399510622024536","2.399510622024536","2.399510622024536","2698","2698","2698"
"226","0.5920394062995911","0.5920394062995911","0.5920394062995911","2710","2710","2710"
"227","0.5689029693603516","0.5689029693603516","0.5689029693603516","2722","2722","2722"
"228","0.7311618328094482","0.7311618328094482","0.7311618328094482","2734","2734","2734"
"229","2.2697455883026123","2.2697455883026123","2.2697455883026123","2746","2746","2746"
"230","0.7023194432258606","0.7023194432258606","0.7023194432258606","2758","2758","2758"
"231","0.7771608233451843","0.7771608233451843","0.7771608233451843","2770","2770","2770"
"232","0.7547969222068787","0.7547969222068787","0.7547969222068787","2782","2782","2782"
"233","2.1465213298797607","2.1465213298797607","2.1465213298797607","2794","2794","2794"
"234","0.6111019849777222","0.6111019849777222","0.6111019849777222","2806","2806","2806"
"235","0.6694820523262024","0.6694820523262024","0.6694820523262024","2818","2818","2818"
"236","0.6927174925804138","0.6927174925804138","0.6927174925804138","2830","2830","2830"
"237","0.759107232093811","0.759107232093811","0.759107232093811","2842","2842","2842"
"238","0.6376832127571106","0.6376832127571106","0.6376832127571106","2854","2854","2854"
"239","0.6270658373832703","0.6270658373832703","0.6270658373832703","2866","2866","2866"
"240","0.7011332511901855","0.7011332511901855","0.7011332511901855","2878","2878","2878"
"241","2.465639352798462","2.465639352798462","2.465639352798462","2890","2890","2890"
"242","0.5902475118637085","0.5902475118637085","0.5902475118637085","2902","2902","2902"
"243","2.4413435459136963","2.4413435459136963","2.4413435459136963","2914","2914","2914"
"244","0.7841929197311401","0.7841929197311401","0.7841929197311401","2926","2926","2926"
"245","0.6149338483810425","0.6149338483810425","0.6149338483810425","2938","2938","2938"
"246","2.680762529373169","2.680762529373169","2.680762529373169","2950","2950","2950"
"247","0.5779141783714294","0.5779141783714294","0.5779141783714294","2962","2962","2962"
"248","0.6162577271461487","0.6162577271461487","0.6162577271461487","2974","2974","2974"
"249","0.6921958327293396","0.6921958327293396","0.6921958327293396","2986","2986","2986"
"250","0.5554541945457458","0.5554541945457458","0.5554541945457458","2998","2998","2998"
"251","0.6158161759376526","0.6158161759376526","0.6158161759376526","3010","3010","3010"
"252","2.717613697052002","2.717613697052002","2.717613697052002","3022","3022","3022"
"253","0.7382635474205017","0.7382635474205017","0.7382635474205017","3034","3034","3034"
"254","0.6259412169456482","0.6259412169456482","0.6259412169456482","3046","3046","3046"
"255","0.7493685483932495","0.7493685483932495","0.7493685483932495","3058","3058","3058"
"256","2.5781948566436768","2.5781948566436768","2.5781948566436768","3070","3070","3070"
"257","2.6687514781951904","2.6687514781951904","2.6687514781951904","3082","3082","3082"
"258","0.6034559011459351","0.6034559011459351","0.6034559011459351","3094","3094","3094"
"259","0.5750188827514648","0.5750188827514648","0.5750188827514648","3106","3106","3106"
