"train/global_step","hearty-leaf-10 - train/rewards/reward_fn/std","hearty-leaf-10 - train/rewards/reward_fn/std__MIN","hearty-leaf-10 - train/rewards/reward_fn/std__MAX","hearty-leaf-10 - _step","hearty-leaf-10 - _step__MIN","hearty-leaf-10 - _step__MAX"
"470","0.626618093252182","0.626618093252182","0.626618093252182","4886","4886","4886"
"475","0.6313900232315064","0.6313900232315064","0.6313900232315064","4938","4938","4938"
"480","0.6493667840957642","0.6493667840957642","0.6493667840957642","4990","4990","4990"
"485","0.7721955418586731","0.7721955418586731","0.7721955418586731","5042","5042","5042"
"490","0.8778982162475586","0.8778982162475586","0.8778982162475586","5094","5094","5094"
"495","0.7010610520839691","0.7010610520839691","0.7010610520839691","5146","5146","5146"
"500","0.5818403959274292","0.5818403959274292","0.5818403959274292","5198","5198","5198"
"505","0.4858741581439972","0.4858741581439972","0.4858741581439972","5250","5250","5250"
"510","0.6245088815689087","0.6245088815689087","0.6245088815689087","5302","5302","5302"
"515","0.6712490439414978","0.6712490439414978","0.6712490439414978","5354","5354","5354"
"520","0.6313227713108063","0.6313227713108063","0.6313227713108063","5406","5406","5406"
"525","0.6851207256317139","0.6851207256317139","0.6851207256317139","5458","5458","5458"
"530","0.7091339707374573","0.7091339707374573","0.7091339707374573","5510","5510","5510"
"535","0.6119893312454223","0.6119893312454223","0.6119893312454223","5562","5562","5562"
"540","0.537030029296875","0.537030029296875","0.537030029296875","5614","5614","5614"
"545","0.670516848564148","0.670516848564148","0.670516848564148","5666","5666","5666"
"550","0.6438993096351624","0.6438993096351624","0.6438993096351624","5718","5718","5718"
"555","0.5618955492973328","0.5618955492973328","0.5618955492973328","5770","5770","5770"
"560","0.5856089293956757","0.5856089293956757","0.5856089293956757","5822","5822","5822"
"565","0.5528473734855652","0.5528473734855652","0.5528473734855652","5874","5874","5874"
"570","0.5673302948474884","0.5673302948474884","0.5673302948474884","5926","5926","5926"
"575","0.5973602890968323","0.5973602890968323","0.5973602890968323","5978","5978","5978"
"580","0.617534852027893","0.617534852027893","0.617534852027893","6030","6030","6030"
"585","0.5579961180686951","0.5579961180686951","0.5579961180686951","6082","6082","6082"
"590","0.9324510574340821","0.9324510574340821","0.9324510574340821","6134","6134","6134"
"595","0.5158766388893128","0.5158766388893128","0.5158766388893128","6186","6186","6186"
"600","0.5904214918613434","0.5904214918613434","0.5904214918613434","6238","6238","6238"
"605","0.5788938820362091","0.5788938820362091","0.5788938820362091","6290","6290","6290"
"610","0.6893078923225403","0.6893078923225403","0.6893078923225403","6342","6342","6342"
"615","0.6667145967483521","0.6667145967483521","0.6667145967483521","6394","6394","6394"
"620","0.595289272069931","0.595289272069931","0.595289272069931","6446","6446","6446"
"625","0.5754349231719971","0.5754349231719971","0.5754349231719971","6498","6498","6498"
"630","0.4653087079524994","0.4653087079524994","0.4653087079524994","6550","6550","6550"
