"train/global_step","hearty-leaf-10 - train/reward_std","hearty-leaf-10 - train/reward_std__MIN","hearty-leaf-10 - train/reward_std__MAX","hearty-leaf-10 - _step","hearty-leaf-10 - _step__MIN","hearty-leaf-10 - _step__MAX"
"560","0.5856089174747467","0.5856089174747467","0.5856089174747467","5822","5822","5822"
"565","0.5528473734855652","0.5528473734855652","0.5528473734855652","5874","5874","5874"
"570","0.5673302948474884","0.5673302948474884","0.5673302948474884","5926","5926","5926"
"575","0.5973602771759033","0.5973602771759033","0.5973602771759033","5978","5978","5978"
"580","0.6175348639488221","0.6175348639488221","0.6175348639488221","6030","6030","6030"
"585","0.5579961001873016","0.5579961001873016","0.5579961001873016","6082","6082","6082"
"590","0.9324510097503662","0.9324510097503662","0.9324510097503662","6134","6134","6134"
"595","0.5158766388893128","0.5158766388893128","0.5158766388893128","6186","6186","6186"
"600","0.5904214680194855","0.5904214680194855","0.5904214680194855","6238","6238","6238"
"605","0.5788938641548157","0.5788938641548157","0.5788938641548157","6290","6290","6290"
"610","0.6893078505992889","0.6893078505992889","0.6893078505992889","6342","6342","6342"
"615","0.6667145848274231","0.6667145848274231","0.6667145848274231","6394","6394","6394"
"620","0.5952892482280732","0.5952892482280732","0.5952892482280732","6446","6446","6446"
"625","0.5754349112510682","0.5754349112510682","0.5754349112510682","6498","6498","6498"
"630","0.4653087019920349","0.4653087019920349","0.4653087019920349","6550","6550","6550"
"635","0.5764399766921997","0.5764399766921997","0.5764399766921997","6602","6602","6602"
"640","0.49364986419677737","0.49364986419677737","0.49364986419677737","6654","6654","6654"
"645","0.5670082330703735","0.5670082330703735","0.5670082330703735","6706","6706","6706"
"650","0.5528776586055756","0.5528776586055756","0.5528776586055756","6758","6758","6758"
"655","0.6523300051689148","0.6523300051689148","0.6523300051689148","6810","6810","6810"
"660","0.5849424958229065","0.5849424958229065","0.5849424958229065","6862","6862","6862"
"665","0.5759404838085175","0.5759404838085175","0.5759404838085175","6914","6914","6914"
"670","0.7193138480186463","0.7193138480186463","0.7193138480186463","6966","6966","6966"
"675","0.5823079347610474","0.5823079347610474","0.5823079347610474","7018","7018","7018"
"680","0.6771538615226745","0.6771538615226745","0.6771538615226745","7070","7070","7070"
"685","0.6047211766242981","0.6047211766242981","0.6047211766242981","7122","7122","7122"
"690","0.4801889181137085","0.4801889181137085","0.4801889181137085","7174","7174","7174"
"695","0.5903495907783508","0.5903495907783508","0.5903495907783508","7226","7226","7226"
"700","0.554468286037445","0.554468286037445","0.554468286037445","7278","7278","7278"
"705","0.8010138988494873","0.8010138988494873","0.8010138988494873","7330","7330","7330"
"710","0.4908496677875519","0.4908496677875519","0.4908496677875519","7382","7382","7382"
"715","0.5837583184242249","0.5837583184242249","0.5837583184242249","7434","7434","7434"
"720","0.5843161821365357","0.5843161821365357","0.5843161821365357","7486","7486","7486"
"725","0.5575857400894165","0.5575857400894165","0.5575857400894165","7538","7538","7538"
"730","0.5784500896930694","0.5784500896930694","0.5784500896930694","7590","7590","7590"
"735","0.562390261888504","0.562390261888504","0.562390261888504","7642","7642","7642"
"740","0.6622113585472107","0.6622113585472107","0.6622113585472107","7694","7694","7694"
"745","0.626006680727005","0.626006680727005","0.626006680727005","7746","7746","7746"
"750","0.7684012055397034","0.7684012055397034","0.7684012055397034","7798","7798","7798"
"755","0.6105376601219177","0.6105376601219177","0.6105376601219177","7850","7850","7850"
"760","0.7900053799152374","0.7900053799152374","0.7900053799152374","7902","7902","7902"
"765","0.6049883246421814","0.6049883246421814","0.6049883246421814","7954","7954","7954"
"770","0.5893126487731933","0.5893126487731933","0.5893126487731933","8006","8006","8006"
"775","0.6371874213218689","0.6371874213218689","0.6371874213218689","8058","8058","8058"
"780","0.6280068635940552","0.6280068635940552","0.6280068635940552","8110","8110","8110"
"785","0.82073073387146","0.82073073387146","0.82073073387146","8162","8162","8162"
"790","0.6026349425315857","0.6026349425315857","0.6026349425315857","8214","8214","8214"
"795","0.5642147064208984","0.5642147064208984","0.5642147064208984","8266","8266","8266"
"800","0.8721649646759033","0.8721649646759033","0.8721649646759033","8318","8318","8318"
"805","0.5774037420749665","0.5774037420749665","0.5774037420749665","8370","8370","8370"
"810","0.624979555606842","0.624979555606842","0.624979555606842","8422","8422","8422"
"815","0.6319634199142456","0.6319634199142456","0.6319634199142456","8474","8474","8474"
"820","0.8269906282424927","0.8269906282424927","0.8269906282424927","8526","8526","8526"
"825","0.7661927521228791","0.7661927521228791","0.7661927521228791","8578","8578","8578"
"830","0.8003762483596801","0.8003762483596801","0.8003762483596801","8630","8630","8630"
"835","0.5939244449138641","0.5939244449138641","0.5939244449138641","8682","8682","8682"
"840","0.5452168166637421","0.5452168166637421","0.5452168166637421","8734","8734","8734"
"845","0.5287329494953156","0.5287329494953156","0.5287329494953156","8786","8786","8786"
"850","0.63937748670578","0.63937748670578","0.63937748670578","8838","8838","8838"
"855","0.581481683254242","0.581481683254242","0.581481683254242","8890","8890","8890"
"860","0.7405441403388977","0.7405441403388977","0.7405441403388977","8942","8942","8942"
"865","0.6476842403411865","0.6476842403411865","0.6476842403411865","8994","8994","8994"
