"train/global_step","hearty-leaf-10 - train/step_time","hearty-leaf-10 - train/step_time__MIN","hearty-leaf-10 - train/step_time__MAX","hearty-leaf-10 - _step","hearty-leaf-10 - _step__MIN","hearty-leaf-10 - _step__MAX"
"5","10.544921318800334","10.544921318800334","10.544921318800334","50","50","50"
"10","9.997035879800023","9.997035879800023","9.997035879800023","102","102","102"
"15","9.746792815600202","9.746792815600202","9.746792815600202","154","154","154"
"20","9.98056728219999","9.98056728219999","9.98056728219999","206","206","206"
"25","10.175002473400308","10.175002473400308","10.175002473400308","258","258","258"
"30","10.0619480242005","10.0619480242005","10.0619480242005","310","310","310"
"35","10.701176202399983","10.701176202399983","10.701176202399983","362","362","362"
"40","10.12916883679991","10.12916883679991","10.12916883679991","414","414","414"
"45","10.485233470200365","10.485233470200365","10.485233470200365","466","466","466"
"50","10.021416714599946","10.021416714599946","10.021416714599946","518","518","518"
"55","10.924629807999736","10.924629807999736","10.924629807999736","570","570","570"
"60","10.967535498799952","10.967535498799952","10.967535498799952","622","622","622"
"65","10.20235145379993","10.20235145379993","10.20235145379993","674","674","674"
"70","10.420716561799964","10.420716561799964","10.420716561799964","726","726","726"
"75","11.43453638020019","11.43453638020019","11.43453638020019","778","778","778"
"80","9.79326286880023","9.79326286880023","9.79326286880023","830","830","830"
"85","10.28914555880001","10.28914555880001","10.28914555880001","882","882","882"
"90","10.18587722919965","10.18587722919965","10.18587722919965","934","934","934"
"95","10.690167035400373","10.690167035400373","10.690167035400373","986","986","986"
"100","10.400191877999896","10.400191877999896","10.400191877999896","1038","1038","1038"
"105","10.794727019200218","10.794727019200218","10.794727019200218","1090","1090","1090"
"110","10.120989954199832","10.120989954199832","10.120989954199832","1142","1142","1142"
"115","11.112541421399873","11.112541421399873","11.112541421399873","1194","1194","1194"
"120","9.91775191159977","9.91775191159977","9.91775191159977","1246","1246","1246"
"125","10.195160730600401","10.195160730600401","10.195160730600401","1298","1298","1298"
"130","9.491220432600311","9.491220432600311","9.491220432600311","1350","1350","1350"
"135","10.285363230800249","10.285363230800249","10.285363230800249","1402","1402","1402"
"140","9.520646259199747","9.520646259199747","9.520646259199747","1454","1454","1454"
"145","10.31725249279989","10.31725249279989","10.31725249279989","1506","1506","1506"
"150","10.20190064119979","10.20190064119979","10.20190064119979","1558","1558","1558"
"155","10.20860469500003","10.20860469500003","10.20860469500003","1610","1610","1610"
"160","9.853370346599878","9.853370346599878","9.853370346599878","1662","1662","1662"
