"train/global_step","hearty-leaf-10 - train/reward","hearty-leaf-10 - train/reward__MIN","hearty-leaf-10 - train/reward__MAX","hearty-leaf-10 - _step","hearty-leaf-10 - _step__MIN","hearty-leaf-10 - _step__MAX"
"340","-0.11528122425079346","-0.11528122425079346","-0.11528122425079346","3534","3534","3534"
"345","-0.25239686369895936","-0.25239686369895936","-0.25239686369895936","3586","3586","3586"
"350","0.6895160101354122","0.6895160101354122","0.6895160101354122","3638","3638","3638"
"355","0.012480805814266204","0.012480805814266204","0.012480805814266204","3690","3690","3690"
"360","-0.09130611643195152","-0.09130611643195152","-0.09130611643195152","3742","3742","3742"
"365","0.7529438748955727","0.7529438748955727","0.7529438748955727","3794","3794","3794"
"370","0.5420879662036896","0.5420879662036896","0.5420879662036896","3846","3846","3846"
"375","-0.3862301498651505","-0.3862301498651505","-0.3862301498651505","3898","3898","3898"
"380","-0.1467847518622875","-0.1467847518622875","-0.1467847518622875","3950","3950","3950"
"385","-0.19556242525577544","-0.19556242525577544","-0.19556242525577544","4002","4002","4002"
"390","-0.13849938586354255","-0.13849938586354255","-0.13849938586354255","4054","4054","4054"
"395","0.713981568813324","0.713981568813324","0.713981568813324","4106","4106","4106"
"400","0.5105956420302391","0.5105956420302391","0.5105956420302391","4158","4158","4158"
"405","0.7998199135065078","0.7998199135065078","0.7998199135065078","4210","4210","4210"
"410","0.6827606521546841","0.6827606521546841","0.6827606521546841","4262","4262","4262"
"415","-0.2272257089614868","-0.2272257089614868","-0.2272257089614868","4314","4314","4314"
"420","-0.08460576385259629","-0.08460576385259629","-0.08460576385259629","4366","4366","4366"
"425","-0.20070164203643798","-0.20070164203643798","-0.20070164203643798","4418","4418","4418"
"430","-0.19052771106362343","-0.19052771106362343","-0.19052771106362343","4470","4470","4470"
"435","-0.2386228434741497","-0.2386228434741497","-0.2386228434741497","4522","4522","4522"
"440","0.05121590793132782","0.05121590793132782","0.05121590793132782","4574","4574","4574"
"445","0.06453317552804946","0.06453317552804946","0.06453317552804946","4626","4626","4626"
"450","1.1142920762300492","1.1142920762300492","1.1142920762300492","4678","4678","4678"
"455","-0.2567874491214752","-0.2567874491214752","-0.2567874491214752","4730","4730","4730"
"460","0.4091468259692192","0.4091468259692192","0.4091468259692192","4782","4782","4782"
"465","0.7969308465719223","0.7969308465719223","0.7969308465719223","4834","4834","4834"
"470","0.10059524327516556","0.10059524327516556","0.10059524327516556","4886","4886","4886"
"475","-0.05503626763820648","-0.05503626763820648","-0.05503626763820648","4938","4938","4938"
"480","0.016644695401191713","0.016644695401191713","0.016644695401191713","4990","4990","4990"
"485","0.7074086830019951","0.7074086830019951","0.7074086830019951","5042","5042","5042"
"490","0.5596992820501328","0.5596992820501328","0.5596992820501328","5094","5094","5094"
"495","0.7385285407304764","0.7385285407304764","0.7385285407304764","5146","5146","5146"
"500","-0.1212650939822197","-0.1212650939822197","-0.1212650939822197","5198","5198","5198"
"505","0.6130669057369232","0.6130669057369232","0.6130669057369232","5250","5250","5250"
"510","-0.04643802493810654","-0.04643802493810654","-0.04643802493810654","5302","5302","5302"
"515","1.768995612859726","1.768995612859726","1.768995612859726","5354","5354","5354"
"520","-0.15954910442233086","-0.15954910442233086","-0.15954910442233086","5406","5406","5406"
"525","0.610309188067913","0.610309188067913","0.610309188067913","5458","5458","5458"
"530","0.8751469939947129","0.8751469939947129","0.8751469939947129","5510","5510","5510"
"535","0.812258505821228","0.812258505821228","0.812258505821228","5562","5562","5562"
"540","0.012452512979507446","0.012452512979507446","0.012452512979507446","5614","5614","5614"
"545","-0.04441222548484802","-0.04441222548484802","-0.04441222548484802","5666","5666","5666"
"550","-0.01593521386384964","-0.01593521386384964","-0.01593521386384964","5718","5718","5718"
"555","-0.04451853632926941","-0.04451853632926941","-0.04451853632926941","5770","5770","5770"
"560","-0.12125851213932037","-0.12125851213932037","-0.12125851213932037","5822","5822","5822"
"565","1.7208333373069764","1.7208333373069764","1.7208333373069764","5874","5874","5874"
"570","-0.1074215978384018","-0.1074215978384018","-0.1074215978384018","5926","5926","5926"
"575","-0.014601638168096542","-0.014601638168096542","-0.014601638168096542","5978","5978","5978"
"580","-0.20494242534041404","-0.20494242534041404","-0.20494242534041404","6030","6030","6030"
"585","-0.12170966863632202","-0.12170966863632202","-0.12170966863632202","6082","6082","6082"
"590","1.232443740963936","1.232443740963936","1.232443740963936","6134","6134","6134"
"595","0.8233416378498077","0.8233416378498077","0.8233416378498077","6186","6186","6186"
"600","0.008881764858961106","0.008881764858961106","0.008881764858961106","6238","6238","6238"
"605","-0.05139618888497353","-0.05139618888497353","-0.05139618888497353","6290","6290","6290"
"610","1.7846938699483872","1.7846938699483872","1.7846938699483872","6342","6342","6342"
"615","-0.1004950687289238","-0.1004950687289238","-0.1004950687289238","6394","6394","6394"
"620","-0.018750010430812834","-0.018750010430812834","-0.018750010430812834","6446","6446","6446"
"625","0.6452158145606518","0.6452158145606518","0.6452158145606518","6498","6498","6498"
